22000.5211013246,3,[Sub r0 -> r2, r0+= r1, r2+= r0]
316.2333454720339,3,[Sub r0 -> r0, r0+= r1, r2+= r0]
24101.521101324597,3,[Sub r0 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Sub r1 -> r2, r0+= r1, r2+= r0]
22243.4788986754,3,[Sub r1 -> r0, r0+= r1, r2+= r0]
21786.5211013246,3,[Sub r1 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Sub r2 -> r2, r0+= r1, r2+= r0]
23132.33676305167,3,[Sub r2 -> r0, r0+= r1, r2+= r0]
23012.5211013246,3,[Sub r2 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Mul r0 -> r2, r0+= r1, r2+= r0]
42703.766654527964,3,[Mul r0 -> r0, r0+= r1, r2+= r0]
22290.143877926283,3,[Mul r0 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Mul r1 -> r2, r0+= r1, r2+= r0]
31241.143877926283,3,[Mul r1 -> r0, r0+= r1, r2+= r0]
34492.5211013246,3,[Mul r1 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Mul r2 -> r2, r0+= r1, r2+= r0]
41246.214945738146,3,[Mul r2 -> r0, r0+= r1, r2+= r0]
23157.5211013246,3,[Mul r2 -> r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Sin r2, r0+= r1, r2+= r0]
321.0168541536352,3,[Sin r0, r0+= r1, r2+= r0]
21790.412622308424,3,[Sin r1, r0+= r1, r2+= r0]
22000.5211013246,3,[Cos r2, r0+= r1, r2+= r0]
321.1729709326088,3,[Cos r0, r0+= r1, r2+= r0]
21794.394237618155,3,[Cos r1, r0+= r1, r2+= r0]
21786.5211013246,2,[r2+= r2, r2+= r0]
21786.5211013246,3,[r2+= r0, r2+= r2, r2+= r0]
24050.5211013246,3,[r0+= r0, r2+= r2, r2+= r0]
21786.5211013246,3,[r2+= r1, r2+= r2, r2+= r0]
22000.5211013246,3,[r0+= r1, r2+= r2, r2+= r0]
21786.5211013246,3,[r2+= r2, r2+= r2, r2+= r0]
23010.5211013246,3,[r0+= r2, r2+= r2, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, r2+= r2, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, r2+= r2, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, r2+= r2, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, r2+= r2, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, r2+= r2, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, r2+= r2, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Sin r2, r2+= r2, r2+= r0]
273.8768803974757,3,[Sin r0, r2+= r2, r2+= r0]
21786.5211013246,3,[Cos r2, r2+= r2, r2+= r0]
276.97134753644985,3,[Cos r0, r2+= r2, r2+= r0]
23010.5211013246,2,[r0+= r2, r2+= r0]
25214.521101324597,3,[r2+= r0, r0+= r2, r2+= r0]
25214.521101324597,3,[r0+= r0, r0+= r2, r2+= r0]
23224.5211013246,3,[r2+= r1, r0+= r2, r2+= r0]
23224.5211013246,3,[r0+= r1, r0+= r2, r2+= r0]
24234.521101324597,3,[r2+= r2, r0+= r2, r2+= r0]
24234.521101324597,3,[r0+= r2, r0+= r2, r2+= r0]
24916.66323694833,3,[Sub r0 -> r2, r0+= r2, r2+= r0]
1292.091209848303,3,[Sub r0 -> r0, r0+= r2, r2+= r0]
22904.66323694833,3,[Sub r1 -> r2, r0+= r2, r2+= r0]
23132.33676305167,3,[Sub r1 -> r0, r0+= r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, r0+= r2, r2+= r0]
24131.33676305167,3,[Sub r2 -> r0, r0+= r2, r2+= r0]
42097.214945738146,3,[Mul r0 -> r2, r0+= r2, r2+= r0]
43702.766654527964,3,[Mul r0 -> r0, r0+= r2, r2+= r0]
23157.5211013246,3,[Mul r1 -> r2, r0+= r2, r2+= r0]
32289.143877926283,3,[Mul r1 -> r0, r0+= r2, r2+= r0]
44547.592169136464,3,[Mul r2 -> r2, r0+= r2, r2+= r0]
41197.214945738146,3,[Mul r2 -> r0, r0+= r2, r2+= r0]
21790.695480738064,3,[Sin r2, r0+= r2, r2+= r0]
1296.3499688224963,3,[Sin r0, r0+= r2, r2+= r0]
21793.036940553633,3,[Cos r2, r0+= r2, r2+= r0]
1298.960767365862,3,[Cos r0, r0+= r2, r2+= r0]
21786.5211013246,2,[Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r0, Sub r0 -> r2, r2+= r0]
24050.5211013246,3,[r0+= r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r1, Sub r0 -> r2, r2+= r0]
22000.5211013246,3,[r0+= r1, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r2, Sub r0 -> r2, r2+= r0]
23010.5211013246,3,[r0+= r2, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, Sub r0 -> r2, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, Sub r0 -> r2, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, Sub r0 -> r2, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, Sub r0 -> r2, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, Sub r0 -> r2, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, Sub r0 -> r2, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Sin r2, Sub r0 -> r2, r2+= r0]
273.8768803974757,3,[Sin r0, Sub r0 -> r2, r2+= r0]
21786.5211013246,3,[Cos r2, Sub r0 -> r2, r2+= r0]
276.97134753644985,3,[Cos r0, Sub r0 -> r2, r2+= r0]
277.4788986754014,2,[Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r2+= r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r0+= r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r2+= r1, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r0+= r1, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r2+= r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[r0+= r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r1 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r1 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r2 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r2 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r0 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r0 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r1 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r1 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r2 -> r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Mul r2 -> r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sin r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Sin r0, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Cos r2, Sub r0 -> r0, r2+= r0]
277.4788986754014,3,[Cos r0, Sub r0 -> r0, r2+= r0]
21786.5211013246,2,[Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r0, Sub r1 -> r2, r2+= r0]
24050.5211013246,3,[r0+= r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r1, Sub r1 -> r2, r2+= r0]
22000.5211013246,3,[r0+= r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r2, Sub r1 -> r2, r2+= r0]
23010.5211013246,3,[r0+= r2, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r2, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, Sub r1 -> r2, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Sub r1 -> r2, r2+= r0]
